<위대한 모험가를 꿈꾸는>,웅장한 나팔소리와 함께 한 사람이 단상으로 올라갔다. \n그 사람은 왕의 앞에 천천히 무릎을 꿇었다. \n"자네의 모험을 온 국민이 기억할걸세. 모두 보아라! 이 자가 이 나라의 영웅이다!"\n\n왕의 외침과 함께 관중들의 환호가 터져나왔다. 당신은 그날부터 아버지의 밭을 이어받는게 아니라 명예로운 모험가가 되겠다는 꿈을 꾸었다.\n몇 년의 세월이 흘렀지만 그 기억은 여전히 당신에게 남아 모험을 떠나도록 만들었다.,START,◈ 모험시작,END,START,RANDOM,END,ITEMSTART,대거,라운드 실드,패드 아머,ITEMEND,10,1,50,FALSE,NULL,NONE,0,,
<나무가 빽빽이 우거진 정글-떡갈나무 쪽으로>,당신은 떡갈나무가 있는 갈림길로 향했다. 떡갈나무위 수는 점점 늘어 이제는 당신의 주변에 떡갈나무만이 가득했다. 그리고 그 나무들 사이에서 나뭇잎으로 된 머리칼과 녹색 피부를 지닌 여인이 모습을 드러냈다.\n\n"히히히… 반가워. 심심하던 차였는데 말이야. 나에 대해 조금 더 맞춰볼래?"\n\n그녀는 당신의 대답은 듣지 않고 질문을 던졌다.\n\n"자. 우선 나는 뭘까?",START,◈ 1. 공격한다,◈ 2. 힌트를 줘,END,START,<나무가 빽빽이 우거진 정글-공격한다>,<나무가 빽빽이 우거진 정글-힌트를 줘>,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,,
<나무가 빽빽이 우거진 정글-공격한다>,당신은 무기를 휘둘렀으나 그녀는 어느덧 사라지고 없었다. 그리고 그저 목소리만 들려왔다.\n\n"땡! 그냥 심심했을 뿐인데 너무 심하게 구는거 아니야?"\n\n당신은 말을 거는 목소리를 무시하고 숲을 빠져나왔다.",START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,,,,
<나무가 빽빽이 우거진 정글-힌트를 줘>,힌트를 달라는 말에 여인은 시선을 위로 올리며 고민하는 듯 하더니 이내 입을 열었다.\n\n"그래. 나는 요정의 한 종류야. 그럼 님프 / 엘프 / 드라이어드 / 페어리 드래곤 중에 하나겠지?",START,◈ 1. 님프,◈ 2. 엘프,◈ 3. 드라이어드,◈ 4. 페어리 드래곤,END,START,<나무가 빽빽이 우거진 정글-님프>,<나무가 빽빽이 우거진 정글-엘프>,<나무가 빽빽이 우거진 정글-드라이어드>,<나무가 빽빽이 우거진 정글-페어리 드래곤>,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,
<나무가 빽빽이 우거진 정글-님프>,당신의 대답에 그녀는 키득거리며 웃었다.\n\n"땡! 아쉽지만 다음 기회에~"\n\n그 말을 남기고 그녀는 나무로 스며들듯 사라졌다.",START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,,,,
<나무가 빽빽이 우거진 정글-엘프>,당신의 대답에 그녀는 키득거리며 웃었다.\n\n"땡! 아쉽지만 다음 기회에~"\n\n그 말을 남기고 그녀는 나무로 스며들듯 사라졌다.",START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,,,,
<나무가 빽빽이 우거진 정글-드라이어드>,당신의 대답에 여인은 손뼉을 치며 웃었다.\n\n"하하핫! 좋아. 정답! 찍었는지 알고 있었는지는 모르지만 어쨌든 맞췄으니 보상을 줄게."\n\n여인은 당신의 이마에 손을 뻗어 조심스럽게 쓰다듬었다. 당신은 머릿속에서 시원한 바람이 부는 것 같은 느낌을 받았다. 그리고 여인은 다음에 또 보자는 말을 남기고 나무로 스며들듯 사라졌다.",START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,INTELLIGENCE,1,,,,
<나무가 빽빽이 우거진 정글-페어리 드래곤>,당신의 대답에 그녀는 키득거리며 웃었다.\n\n"땡! 아쉽지만 다음 기회에~"\n\n그 말을 남기고 그녀는 나무로 스며들듯 사라졌다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,1,50,FALSE,NULL,NONE,0,,,,,
<당신은 소나기를 피해>,맑았던 하늘이 급작스럽게 비를 쏟아냈다. 당신은 소나기를 피해 잠시 눈앞의 동굴에 들어섰다.\n\n"키에에엑!"\n\n아무도 없는 줄 알았던 동굴에 메아리치는 괴성이 당신의 신경을 긁었다. 당신은 고개를 이리저리 돌렸으나 소리의 근원은 알 수 없었다. 당신은 무기를 꺼내 곧 덮쳐올 위험에 대비했다.\n\n"키에에에엑!!"\n\n괴성은 당신의 바로 위에서 들려왔다. 위를 올려다보자 흡혈 박쥐가 이빨을 드러내며 당신에게 날아왔다.,START,◈ 1. 경계한다,◈ 2. 도망친다,◈ 3. 마법 : 라이트,END,START,<당신은 소나기를 피해-경계한다>,<당신은 소나기를 피해-도망친다>,<당신은 소나기를 피해-마법 : 라이트>,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,,,,
<당신은 소나기를 피해-경계한다>,당신은 무기를 꺼내고 흡혈 박쥐를 눈으로 쫓았다. 그것은 이리저리 방향을 바꿔가며 당신의 주변을 멤돌다 다른 곳으로 날아가버렸다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,1,50,FALSE,NULL,NONE,0,,,,,
<당신은 소나기를 피해-도망친다>,당신은 무기를 세차게 휘둘렀다. 그 기세에 놈이 살짝 움츠러들었고 당신은 그 틈을 노려 재빨리 달아났다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,1,50,FALSE,NULL,NONE,0,,,,,
<당신은 소나기를 피해-마법 : 라이트>,당신은 빛을 불러오는 주문을 외우려 했으나 당황한 탓인지 혀가 꼬이고 말았다. 흡혈 박쥐는 그 틈을 놓치지 않고 당신에게 날아들었다.,START,◈ 전투 시작,END,START,<당신은 소나기를 피해-전투승리>,<당신은 소나기를 피해-전투패배>,END,ITEMSTART,ITEMEND,0,0,50,TRUE,흡혈 박쥐,NONE,0,,,,,
<당신은 소나기를 피해-전투승리>,흡혈 박쥐는 바닥에 쓰러져 잔뜩 오그라들었다. 그리고 몇 번 부들거리다가 이내 숨을 거뒀다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,4,1,50,FALSE,NULL,NONE,0,,,,,
<당신은 소나기를 피해-전투패배>,당신은 흡혈박쥐에게 패배하여 상처를 입고 도망쳤다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,HP,-1,,,,
<박살 난 수레>,당신은 박살 난 수레와 박살 난 몇 마리의 말 그리고 값옷을 입은 시체들을 목격했다. 주변을 경계하며 살펴본 현장에는 괴물과 사람들의 발자국이 어지럽게 뿌려져 있었다. 그리고 그 사이로 누군가 도망친 흔적이 있다.,START,◈ 1. 사람의 발자국을 쫓는다,◈ 2. 괴물의 흔적을 쫓는다,◈ 3. 무시하고 지나친다,END,START,<박살 난 수레-사람의 발자국을 쫓는다>,<박살 난 수레-괴물의 흔적을 쫓는다>,<박살 난 수레-무시하고 지나친다>,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,
<박살 난 수레-사람의 발자국을 쫓는다>,바닥은 질척한 흙으로 되어있어 흔적을 추적하는 일은 그리 어렵지 않았다. 당신은 얼마 지나지 않아 도망자를 발견했다. 그녀는 손에 채워진 수갑을 끊어내려 바위에 내리치다 인기척에 화들짝 놀라며 당신을 쳐다본다.,START,◈ 1. 무슨 일이지?,◈ 2. 풀어준다,◈ 3. 체포한다.,END,START,<박살 난 수레-무슨 일이지?>,<박살 난 수레-풀어준다>,<박살 난 수레-체포한다>,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,
<박살 난 수레-무슨 일이지?>,그녀는 바위에 엉덩이를 살짝 걸치고 앉아 자신의 사연을 털어놓았다. 그녀는 국경지대 근처에 살던 사냥꾼으로 국경 경비대와 사냥터에 대한 문제로 잦은 충돌을 겪고 있었다고 했다. 어느 날 그녀는 경비대와 크게 싸우다 현장에서 체포되었다. 그 와중에 와이번이 그들을 습격하는 바람에 탈출할 수 있었던 것이었다.\n\n"흥! 그 자식들은 죽어도 싸지. 누구 맘대로 사냥을 하라 말라야?",START,◈ 1. 풀어준다,◈ 2. 체포한다,END,START,<박살 난 수레-풀어준다>,<박살 난 수레-체포한다>,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,
<박살 난 수레-풀어준다>,당신은 그녀를 도와 수갑을 풀어주었다. 그녀는 도와준 것에 대한 보답을 하고 싶다며 앞장서서 걸었다. 얼마간 가파른 경사의 산을 걸어가다 보니 작은 오두막이 나타났다. 아니 정확히 말하자면 오두막이었던 잔해가 나타났다.\n\n"크르르르..."\n\n마치 기다렸단듯 와이번이 잔해더미에서 날아올랐다. 사냥꾼은 황당한 표정을 지었다.\n\n"젠장... 내 집..."\n\n와이번이 괴성을 지르며 달려든다!,START,◈ 전투 시작,END,START,<박살 난 수레-전투승리>,<박살 난 수레-전투패배>,END,ITEMSTART,ITEMEND,0,0,50,TRUE,와이번,NONE,0,,,,,
<박살 난 수레-체포한다>,당신은 그녀를 제압하여 더 단단히 구속하였다. 그녀는 묶인 채로 격하게 당신에게 저항했으나 결국 국경 수비대의 초소까지 끌려 왔다. 당신이 다가가자 경비대원이 경계하며 다가왔다. 그는 묶여있는 사냥꾼을 보더니 골드가 든 주머니를 건네주고 그녀를 데려갔다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,20,2,50,FALSE,NULL,NONE,0,,,,,
<박살 난 수레-괴물의 흔적을 쫓는다>,괴물의 발자국으로 보았을 때 그것은 와이번의 것으로 추정된다. 흔적은 남쪽으로 이어지다 어느 순간 끊겼다. 당신은 난장판을 만들어놓은 와이번을 쫓아 걸음을 옮겼다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,1,50,FALSE,NULL,NONE,0,,,,,
<박살 난 수레-무시하고 지나친다>,개입하지 않는 것이 좋겠다고 판단하고 서둘러 지나쳤다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,1,50,FALSE,NULL,NONE,0,,,,,
<박살 난 수레-전투승리>,당신의 마지막 일격으로 와이번은 피를 토하며 바닥에 거꾸러졌다. 그리고 사냥꾼은 작은 단검으로 와이번의 가죽을 벗겨내기 시작했다.,START,◈ 1. 보상을 요구한다,◈ 2. 무슨 일인지 묻는다,END,START,<박살 난 수레-보상을 요구한다>,<박살 난 수레-무슨 일인지 묻는다>,END,ITEMSTART,ITEMEND,23,1,50,FALSE,NULL,NONE,0,,,,,
<박살 난 수레-보상을 요구한다>,"보상? 지금 주려고 하고 있잖아. 너도 좀 거들지 그래?"\n\n그녀는 힘들게 와이번에 사체를 분해하며 말했다. 당신은 그녀를 도와 와이번의 가죽을 벗기고 살을 발라 뼈를 추려냈다. 분해작업이 끝난 후 그녀는 주먹만 한 구슬을 하나 내밀었다. 그 구슬은 와이번의 피가 묻어있음에도 영롱한 붉은 빛을 냈다.\n\n"가죽이나 뿔보다 훨씬 비싼 녀석이야. 아무튼... 고마웠어. 잘 가."\n\n당신은 와이번의 내단을 받고 그녀와 작별 인사를 나눴다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,와이번 내단,ITEMEND,0,2,50,FALSE,NULL,NONE,0,,,,
<박살 난 수레-무슨 일인지 묻는다>,그녀는 해체 작업을 하면서 당신의 물음에 답했다. 그녀는 며칠 전 수컷 와이번을 사냥했었다고 말했다. 그러나 그녀는 암컷 와이번에 대해서 전혀 생각지 못했다. 암컷은 수컷을 죽인 것으로 추정되는 인간들을 습격했고 마침내 범인을 찾아냈던 것이었다.,START,◈ 1. 보상을 요구한다,END,START,<박살 난 수레-보상을 요구한다>,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,
<박살 난 수레-전투패배>,당신이 마지막으로 본 것은 달려드는 와이번의 머리통이었다. 다시 눈을 떴을 땐 허름한 척만 안이었다. 복부에 격통을 느끼며 일어나 천막을 나오니 사냥꾼이 당신에게 말을 건넸다.\n\n"미안해. 나 때문에... 지금은 집도 박살나고 와이번도 도망가서 아무것도 없지만 나중에 다시 만나자. 그럼 그때 제대로 보답할게."\n\n마젯은 당신을 남겨두고 떠나갔다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,,,,
